factors,responses
16.5,"[60.16912726768047, 65.42767085748044]"
16.667,"[53.982092989699964, 64.34406375107939]"
16.833,"[55.172324587410564, 62.856938247049015]"
17.0,"[58.95723480995849, 67.77695700321028]"
17.167,"[61.21668222566694, 66.18528164602058]"
17.333,"[63.389494832334265, 72.62313682198334]"
17.5,"[62.15607039745754, 65.48396113230706]"
17.667,"[61.74417199159211, 70.00996657644546]"
17.833,"[58.89478961454549, 79.98844122215935]"
18.0,"[64.54625313702101, 70.609883645508]"
18.167,"[61.15787447240891, 67.26799038352175]"
18.333,"[52.022542384302575, 66.33844975967666]"
18.5,"[62.70068486555918, 69.89863684964263]"
18.667,"[59.49919722662426, 68.98201921817115]"
18.833,"[60.367540398849776, 67.19442914595524]"
19.0,"[61.133672153092796, 68.36264875135221]"
19.167,"[61.21055014842473, 72.18424923124833]"
19.333,"[65.17179876680324, 74.87872962490825]"
19.5,"[63.25605032738888, 67.56119607136009]"
19.667,"[63.12708636743539, 76.89683532272844]"
19.833,"[65.00482489153427, 75.48152216928493]"
20.0,"[62.192984165844514, 73.633631697045]"
20.167,"[66.32418344142283, 67.8091019688146]"
20.333,"[67.20433988718979, 68.93165023717788]"
20.5,"[66.50377346521672, 70.8370542418895]"
20.667,"[65.53041797532191, 67.83088970735578]"
20.833,"[65.75776991385156, 78.48296355451892]"
21.0,"[64.83281407498774, 68.81615806753437]"
21.167,"[66.60248298926554, 69.0596636592738]"
21.333,"[55.32694950248181, 71.54211766071653]"
21.5,"[63.9538130502484, 71.3129502408478]"
21.667,"[59.815436148260964, 77.47655354202846]"
21.833,"[65.42291961378578, 83.76916673269454]"
22.0,"[62.27022172118695, 70.07105545581354]"
22.167,"[61.605254925371284, 79.70013802342868]"
22.333,"[67.78061823867611, 75.03817378531372]"
22.5,"[66.00275774924214, 71.59605561978539]"
22.667,"[65.98752857395564, 72.2682621932324]"
22.833,"[65.30403810154927, 72.18587273065427]"
23.0,"[61.770440692865215, 70.71422694230355]"
23.167,"[68.13246886580691, 71.02139303201534]"
23.333,"[64.41328901296704, 72.84398491915408]"
23.5,"[65.32285685454706, 74.69775455853507]"
23.667,"[69.06533942929636, 79.16218650390954]"
23.833,"[68.9025762654527, 73.25621445033481]"
24.0,"[68.74981103636198, 87.62926166515138]"
24.167,"[68.64204083972022, 70.4888907587998]"
24.333,"[68.17024801474213, 71.71270493161072]"
24.5,"[62.61463538465888, 71.19553654855723]"
24.667,"[59.471797924970545, 72.90556799780137]"
24.833,"[63.90650020295018, 69.79431657777593]"
